OTUID	MNAW0514.1	MNAW0514.2	MNAW0515.1	MNAW0515.2	MNAW0914.1	MNAW0914.2	MNAW0915.1	MNAW0915.2	MNAW1214.1	MNAW1214.2	NAW0514.1	NAW0514.2	NAW0515.1	NAW0515.2	NAW0914.1	NAW0914.2	NAW0915.1	NAW0915.2	NAW1214.1	NAW1214.2	NSAIW0514.1	NSAIW0514.2	NSAIW0515.1	NSAIW0515.2	NSAIW0914.1	NSAIW0914.2	NSAIW0915.1	NSAIW0915.2	NSAIW1214.1	NSAIW1214.2	NSDW0514.1	NSDW0514.2	NSDW0515.1	NSDW0515.2	NSDW0914.1	NSDW0914.2	NSDW0915.1	NSDW0915.2	NSDW1214.1	NSDW1214.2
zASV552	26	0	5	14	10	6	57	74	30	17	19	2	22	44	9	7	10	29	44	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
zASV553	111	18	30	116	34	8	208	318	153	81	103	47	416	501	78	68	116	186	392	303	2	4	0	2	1	2	6	1	0	0	0	3	0	1	1	7	8	3	0	0
zASV554	26	0	0	15	9	7	19	50	11	7	94	61	13	22	29	37	17	32	22	24	0	0	0	1	1	1	4	2	3	1	2	0	1	0	0	7	0	0	2	0
zASV555	7	0	5	45	7	10	31	54	19	5	8	7	20	34	28	25	21	45	39	32	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	1	1	0	0	1
zASV556	15	0	13	26	7	2	34	57	35	26	11	7	70	97	14	15	18	28	69	66	0	0	2	0	0	0	1	6	2	0	0	2	0	0	1	10	4	3	0	0
zASV557	7	25	12	31	18	14	47	73	14	14	5	1	37	45	55	31	42	122	31	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV558	2	29	0	6	2	0	6	5	7	3	1	1	0	2	0	0	0	3	1	0	313	223	309	418	205	142	298	333	176	82	136	88	95	45	48	993	79	67	106	42
zASV559	18	59	7	23	8	3	28	43	23	11	6	6	14	17	19	9	7	16	3	7	38	24	33	49	29	14	50	63	35	7	28	16	15	11	7	141	21	11	24	5
zASV56	0	0	0	6	3	2	0	2	5	0	0	0	2	6	1	1	0	0	1	2	1	0	0	6	2	0	0	0	0	11	0	0	17	0	5	4027	0	0	7	14
zASV560	89	0	0	6	0	4	20	34	13	11	2	1	1	1	3	4	4	8	0	0	24	38	31	82	51	84	77	81	36	13	10	3	6	1	3	94	10	7	14	10
zASV561	6	0	1	6	4	0	12	17	12	2	1	0	3	8	6	3	2	6	3	3	11	8	7	23	10	11	12	19	19	2	10	1	8	6	0	84	7	5	11	6
zASV562	36	0	0	6	5	1	15	8	7	1	4	0	0	0	1	0	0	8	4	0	11	30	19	41	22	38	41	43	15	8	6	3	1	0	6	43	4	0	6	2
zASV563	1	0	0	1	0	0	1	1	0	0	0	0	5	0	0	0	2	1	0	1	26	29	17	42	22	18	33	35	29	11	11	14	16	8	1	133	12	3	50	12
zASV564	0	0	0	3	0	0	0	0	0	2	0	0	1	4	0	0	0	2	0	0	22	20	4	32	25	11	28	25	23	10	8	19	20	8	4	123	8	8	37	17
zASV565	119	0	5	13	3	5	10	29	10	10	19	1	8	6	20	12	19	24	0	4	59	27	57	78	46	23	191	173	34	16	70	17	72	34	7	146	78	85	71	17
zASV566	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	4	10	18	28	10	29	32	21	3	2	11	11	3	1	103	15	8	14	5
zASV567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	20	3	1	2	1	2	1	2	1	71	21	29	12	1	67	24	18	34	11
zASV568	1	0	0	10	1	1	1	5	7	3	0	1	6	15	1	0	6	9	3	0	37	32	19	29	16	10	17	7	16	7	21	18	17	13	5	129	23	17	25	9
zASV569	31	0	2	7	7	4	31	40	29	9	15	6	42	63	26	19	17	32	26	27	24	7	3	17	20	6	25	22	32	14	31	18	22	18	2	151	36	28	33	6
zASV57	3	0	3	7	3	1	2	2	1	2	51	19	5	5	8	7	0	4	6	11	2451	3264	5	27	4	4	1	0	3	57	248	79	3	1	126	247	5	0	63	31
zASV570	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	43	43	2	14	15	1	23	30	6	0	22	22	31	16	4	120	39	28	86	32
zASV571	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	36	18	6	6	3	0	10	8	7	0	77	26	38	5	3	53	15	11	19	13
zASV572	259	299	12	51	28	38	203	375	80	30	170	101	38	36	70	69	54	145	37	32	11	2	9	11	10	11	9	6	3	3	7	2	2	0	0	15	3	5	0	2
zASV573	74	54	4	24	29	22	75	79	27	8	298	131	18	47	132	157	42	105	37	26	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
zASV574	15	0	4	28	3	8	39	33	23	22	26	18	6	19	28	24	10	45	33	29	0	0	0	1	0	3	0	1	0	1	1	0	0	0	0	12	0	1	4	1
zASV575	23	0	3	23	4	3	36	73	25	20	18	8	47	48	11	11	14	40	34	36	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	3	0	0	0
zASV576	35	0	4	16	4	16	70	63	19	14	14	6	11	5	17	25	10	28	25	9	12	1	10	12	17	12	28	18	14	4	8	3	5	3	4	64	10	7	9	3
zASV577	23	0	4	8	6	1	12	10	15	7	2	3	17	36	12	13	6	12	11	16	17	11	6	13	14	5	24	29	18	4	18	9	19	8	3	128	19	28	21	15
zASV578	12	0	7	21	12	8	22	22	15	7	5	4	12	13	19	19	13	9	7	7	30	31	29	34	33	16	46	54	41	10	21	13	14	2	3	103	20	17	17	5
zASV579	0	0	2	7	0	1	0	0	7	1	0	0	58	14	8	2	0	0	2	2	0	0	6	1	6	1	0	0	4	0	1	0	15	46	14	444	0	0	1	8
zASV58	216	0	69	161	48	22	343	609	222	99	75	23	248	320	55	53	80	166	189	165	14	14	16	38	18	23	56	74	28	12	6	11	8	5	5	82	30	17	14	0
zASV580	20	0	8	20	4	2	45	101	24	9	18	9	49	32	17	14	25	47	25	28	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	2	0	3	0	0
zASV581	10	0	1	12	3	14	29	50	38	14	1	0	17	26	38	30	13	77	51	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV582	12	0	10	12	0	1	15	26	21	7	9	2	40	58	19	14	9	27	66	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	0	0
zASV583	37	0	5	13	6	11	56	64	30	14	9	9	8	12	26	35	20	27	21	16	7	4	8	16	8	10	24	19	13	1	2	0	0	0	1	29	0	0	1	0
zASV584	43	0	4	23	6	8	66	114	30	24	6	6	4	18	26	31	19	32	19	26	2	3	12	34	5	13	18	15	7	2	1	0	0	0	0	29	1	1	4	0
zASV586	19	0	1	18	2	5	31	42	11	4	5	9	9	6	16	15	6	19	5	10	1	1	7	15	6	13	17	6	8	1	0	2	0	5	2	33	2	3	6	7
zASV587	22	0	0	2	0	0	8	14	3	2	5	7	3	5	3	1	2	3	0	1	15	8	6	28	16	6	54	42	21	2	12	3	2	0	5	49	14	6	11	2
zASV588	1	0	3	3	9	8	102	176	19	19	7	7	12	6	35	28	31	82	29	18	0	0	1	1	1	3	0	1	3	0	0	0	3	0	0	8	2	0	1	0
zASV589	0	3	0	1	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	161	71	34	50	51	18	95	85	74	15	80	57	106	41	20	312	92	62	98	34
zASV59	19	108	2	7	0	4	24	37	17	16	2	2	13	23	5	4	13	22	3	6	785	566	543	576	363	179	953	826	431	110	578	401	322	267	90	2024	473	513	451	142
zASV590	23	41	11	20	18	8	33	46	20	8	11	5	13	29	17	9	11	25	13	9	41	30	35	56	47	22	85	83	49	15	38	21	16	23	10	192	22	27	36	13
zASV591	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	18	25	47	67	59	32	91	66	78	6	5	23	30	21	4	215	50	43	41	11
zASV592	117	0	0	9	9	6	13	15	6	8	10	3	11	14	28	26	11	15	7	5	60	26	37	59	43	23	161	116	45	4	45	6	49	24	11	182	64	50	70	19
zASV593	0	9	18	51	3	11	3	14	22	15	0	0	40	35	3	3	12	25	35	24	22	16	15	19	19	7	27	11	18	6	25	11	34	16	1	88	24	29	53	14
zASV594	0	0	0	0	3	2	0	0	1	1	0	1	1	4	0	0	0	0	1	10	4	3	0	0	3	1	0	0	25	3	4	4	4	0	10	358	0	0	1	0
zASV595	69	0	12	37	10	17	96	145	44	27	21	17	15	21	43	39	25	51	31	19	31	8	16	38	23	34	63	25	20	9	19	8	12	7	3	102	12	11	19	9
zASV596	11	0	0	0	0	0	0	2	3	35	0	1	1	1	1	0	0	1	5	10	12	17	1	1	1	1	1	0	5	445	234	65	0	0	3	9	0	0	24	394
zASV597	5	0	2	12	5	2	6	8	16	11	1	1	27	39	2	0	10	33	2	1	60	42	33	55	46	10	56	22	45	7	33	67	56	29	2	198	61	53	42	12
zASV598	3	13	0	5	0	1	4	4	2	1	0	0	1	0	2	1	0	8	1	0	30	16	35	54	30	26	73	47	32	17	24	14	33	15	11	169	16	24	29	7
zASV599	178	990	1	0	0	0	0	8	4	0	0	35	0	1	2	0	0	5	3	0	5	5	0	0	0	0	2	3	0	0	1407	0	3	0	0	4	0	1	1	0
zASV6	2	0	16	145	59	1061	512	718	2967	1098	0	2	74	182	967	465	2709	1015	1677	988	1	2	576	207	445	483	1728	785	3778	3552	22	1	722	474	509	13916	570	715	7641	3049
zASV60	158	0	46	124	36	22	304	522	176	85	57	21	188	265	55	44	56	139	137	174	11	9	23	36	13	28	48	56	36	5	10	4	9	2	2	79	18	17	9	4
zASV601	423	160	45	52	22	32	82	83	54	31	52	51	137	152	62	32	106	103	41	34	0	0	0	2	0	3	2	3	0	0	0	0	0	0	0	0	1	1	0	0
zASV602	27	0	11	22	10	9	45	114	43	14	31	3	49	70	16	18	16	40	41	40	0	1	0	2	1	0	0	2	0	0	0	0	1	0	0	1	8	1	0	0
zASV603	3	0	1	20	2	8	20	42	19	10	2	0	15	23	28	29	21	78	22	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV604	57	0	6	39	39	29	134	261	164	86	3	0	20	28	14	11	17	36	14	2	0	0	2	1	0	4	3	2	0	0	1	0	0	0	0	0	0	0	0	0
zASV605	41	66	7	7	5	4	53	65	16	9	79	57	5	4	10	4	14	19	16	10	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	4	2	5	0	0
zASV606	5	0	4	25	7	3	28	58	12	9	0	1	9	9	13	15	9	28	12	9	1	0	1	0	1	0	0	0	0	0	3	0	1	0	0	2	1	0	0	0
zASV607	27	3	9	41	6	5	40	88	70	24	13	4	74	93	18	20	21	49	95	82	0	0	0	1	2	0	8	1	1	0	2	1	0	0	2	9	2	1	1	0
zASV608	22	142	10	34	8	14	52	86	31	17	13	1	20	32	18	24	25	57	24	13	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
zASV609	31	0	8	24	7	7	53	99	41	24	23	6	47	81	18	23	23	60	47	50	0	1	1	1	1	4	3	2	0	0	1	1	0	0	0	2	0	0	0	0
zASV61	0	0	0	3	0	1	0	0	11	1	0	3	4	6	0	0	0	0	0	0	6	1	2	6	5	1	0	0	0	8	3	0	15	0	1	4495	0	0	10	13
zASV610	26	124	23	53	9	11	54	75	32	13	20	8	51	63	28	28	23	58	33	44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
zASV611	1	0	0	7	1	2	4	10	15	10	0	0	16	26	2	2	7	16	5	7	50	23	16	43	28	16	41	26	39	14	27	35	17	13	6	184	28	21	41	8
zASV612	75	0	1	8	4	9	11	20	19	8	13	6	9	15	21	18	10	23	5	8	46	17	26	53	39	25	110	109	21	3	50	9	32	11	6	131	57	42	69	3
zASV613	67	0	4	13	4	8	18	43	20	11	7	9	3	16	19	6	7	28	13	11	4	0	4	16	5	7	10	6	6	5	5	3	0	1	0	24	2	2	3	0
zASV614	291	915	129	466	25	33	346	379	363	150	853	425	309	332	71	73	97	186	420	319	3	6	7	3	0	11	6	4	1	0	3	4	1	0	2	15	1	4	2	2
zASV615	41	0	0	3	0	0	5	7	4	1	400	217	2	2	1	0	2	0	7	7	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0
zASV616	0	2	0	3	2	1	2	0	0	0	7	9	1	10	1	0	3	18	3	0	56	55	46	72	61	23	85	104	69	15	33	23	38	22	7	339	39	29	29	11
zASV617	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	24	16	0	4	3	0	4	0	3	2	56	17	21	7	5	48	9	16	20	8
zASV618	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	13	14	2	16	9	3	20	14	13	5	4	8	7	1	1	84	5	3	33	12
zASV619	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	6	10	20	28	14	40	18	20	1	1	11	15	6	1	91	27	13	19	8
zASV62	177	0	29	164	37	36	363	616	251	102	53	27	212	291	66	52	67	184	232	215	12	8	14	41	33	29	63	85	23	14	12	8	7	1	10	108	21	12	14	4
zASV620	1	5	2	0	0	0	2	3	0	5	0	0	3	12	0	0	3	7	1	0	76	76	18	131	88	30	136	117	116	28	17	35	50	33	6	432	24	26	104	41
zASV621	48	36	13	22	7	8	28	36	16	19	7	9	52	41	15	26	14	42	20	12	36	29	20	40	29	10	69	63	68	7	37	36	29	25	17	263	47	48	55	12
zASV622	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	26	33	1	7	20	0	13	21	4	2	20	22	38	13	2	97	26	22	49	29
zASV623	27	26	15	22	6	6	14	19	27	11	9	3	37	30	6	6	9	24	8	3	21	23	17	21	14	10	39	28	36	7	17	28	24	15	4	127	25	43	28	10
zASV624	8	258	5	40	5	7	31	51	23	32	29	23	30	55	46	38	52	119	23	16	25	15	3	13	6	5	18	7	10	2	16	22	16	13	4	53	18	14	25	5
zASV628	0	0	0	0	2	1	2	0	1	0	5	1	7	8	0	4	8	17	4	2	36	39	18	57	47	14	66	53	45	14	17	13	22	7	5	202	23	15	24	6
zASV629	0	0	0	3	0	0	0	0	0	1	0	0	11	1	4	1	0	0	0	0	0	0	0	5	5	3	0	1	0	0	0	0	13	0	9	191	1	0	0	0
zASV63	192	2	10	34	25	26	80	202	61	32	70	50	19	24	58	66	26	55	31	29	434	389	133	266	311	214	362	368	222	93	442	155	249	91	98	1650	391	175	391	133
zASV630	0	5	0	4	7	2	0	0	6	2	1	5	1	11	2	1	0	0	0	30	21	7	1	5	7	0	1	3	62	7	17	8	8	2	10	731	1	0	3	3
zASV631	2	0	1	8	4	5	6	10	11	2	5	2	4	6	8	3	5	8	3	1	23	6	13	24	11	7	23	33	18	6	9	6	7	5	0	84	12	5	14	5
zASV632	1	0	6	12	4	2	0	0	1	0	0	0	56	26	3	2	1	0	1	1	0	0	12	29	7	20	0	0	9	1	0	1	37	91	15	210	0	0	3	3
zASV633	62	0	1	8	1	2	10	18	14	12	217	98	7	10	13	22	19	21	16	15	7	0	12	20	10	5	27	30	5	7	8	2	7	0	0	41	7	5	6	1
zASV634	50	0	2	9	3	3	9	14	10	8	161	101	9	10	14	17	9	25	19	9	4	0	7	10	6	5	19	14	3	1	8	2	8	1	2	19	10	4	3	1
zASV636	18	0	1	4	3	4	23	35	4	5	34	26	6	3	3	3	5	5	5	15	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	2	2	1	0	0
zASV638	155	178	12	14	4	6	20	51	35	25	510	283	19	24	35	29	38	51	34	25	16	9	45	26	5	11	62	60	16	2	15	2	13	12	1	50	23	22	11	5
zASV639	37	11	0	2	0	1	5	7	6	3	384	205	3	2	1	4	1	2	10	7	3	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
zASV64	5	211	12	13	2	6	22	14	17	12	0	2	20	47	4	2	13	27	7	6	416	396	451	1368	489	314	1400	1366	526	149	94	207	200	149	46	1961	249	238	376	117
zASV640	8	75	3	21	9	4	17	23	47	13	1	2	37	70	6	8	17	64	14	14	199	141	67	66	59	51	103	74	66	16	238	150	235	132	36	703	264	117	188	66
zASV641	120	399	15	56	14	13	178	180	54	23	57	27	60	73	26	9	48	110	49	39	10	3	0	9	3	3	20	23	9	3	22	13	17	6	3	50	16	15	7	4
zASV642	20	0	0	0	1	0	0	2	2	0	150	104	1	1	0	0	0	4	1	5	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0
zASV643	80	0	3	16	14	13	51	75	26	13	135	117	25	25	81	69	34	46	40	23	4	2	0	3	4	5	2	0	1	2	1	0	1	0	0	8	1	0	2	1
zASV644	0	0	0	19	2	0	0	0	5	0	1	0	87	19	0	1	0	0	2	7	1	0	6	6	13	0	0	0	13	1	0	0	19	83	10	519	0	0	2	10
zASV645	4	0	5	13	2	2	15	24	12	1	17	6	50	83	15	16	12	28	68	36	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0
zASV646	125	430	143	830	47	55	528	620	456	225	112	50	483	594	95	89	161	497	592	505	6	6	11	19	19	34	10	15	4	2	6	0	0	0	0	8	3	3	1	1
zASV647	81	165	26	34	14	20	59	87	26	19	15	9	35	59	34	16	34	73	20	29	23	29	17	16	13	5	20	18	22	2	53	21	17	9	4	92	21	19	11	8
zASV648	35	92	31	27	3	5	84	146	30	26	27	20	76	65	9	10	24	72	36	25	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	3	2	1	2	0
zASV649	21	0	12	9	5	0	28	49	12	9	25	10	53	74	10	19	21	38	58	70	1	0	0	1	2	0	1	1	1	0	0	1	0	0	0	3	0	2	1	0
zASV65	502	944	44	113	69	81	383	621	86	49	490	359	53	72	290	307	108	236	71	65	20	12	2	8	3	6	11	16	6	3	12	4	9	4	1	41	8	5	4	1
zASV650	43	0	16	45	8	12	67	111	57	25	11	4	68	102	20	7	23	43	95	98	1	0	0	2	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0
zASV651	13	0	0	1	3	2	12	8	12	1	1	0	15	13	1	3	2	14	8	2	8	9	5	3	12	5	22	18	15	5	5	12	14	6	4	78	11	18	8	4
zASV652	33	0	6	13	4	5	22	27	29	14	6	3	32	32	27	7	12	23	23	15	19	25	11	22	29	9	48	41	47	6	30	24	30	13	6	219	26	41	36	12
zASV654	25	0	5	13	11	9	23	34	27	10	13	2	29	68	15	8	17	34	23	17	21	16	6	21	5	15	30	24	31	13	17	18	23	10	1	107	22	17	19	6
zASV655	5	113	24	61	3	8	21	31	21	18	39	9	66	92	36	37	55	118	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
zASV656	1	0	3	10	1	4	0	0	1	0	0	0	17	16	2	0	0	0	1	0	0	2	5	17	3	9	0	0	5	3	2	0	13	27	2	112	0	0	5	2
zASV657	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	18	14	6	39	18	13	19	17	14	4	5	7	11	2	4	118	2	2	29	14
zASV658	2	13	0	3	1	0	1	2	0	0	0	0	4	3	1	1	3	3	0	0	172	110	52	87	46	24	116	76	60	16	179	101	91	55	21	456	107	81	107	40
zASV659	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	18	34	64	49	31	78	51	37	13	7	15	15	7	4	165	42	28	58	7
zASV66	166	1	43	131	34	17	340	569	213	94	45	21	181	238	38	39	64	148	144	130	10	10	22	33	10	30	54	57	26	4	3	6	7	4	5	72	18	19	10	0
zASV660	3	4	0	4	1	0	0	1	3	1	0	3	0	0	0	1	0	3	1	0	39	7	22	50	15	24	57	41	31	9	15	3	8	5	7	88	9	9	13	9
zASV661	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	38	23	1	9	4	0	6	2	1	6	72	20	31	8	8	67	13	17	33	11
zASV662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	13	5	5	6	9	0	0	15	19	13	0	70	28	14	16	0
zASV663	36	0	1	9	7	3	24	34	14	6	5	0	7	10	11	13	10	29	8	8	2	2	5	7	2	4	3	6	4	1	3	2	3	0	0	28	1	0	0	2
zASV664	2	40	3	15	1	8	4	10	12	5	1	0	11	36	1	1	13	27	6	3	54	56	40	49	32	25	45	30	48	8	42	60	43	30	5	226	49	47	33	12
zASV665	1	3	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	114	58	54	54	31	10	38	58	56	10	123	48	45	32	15	305	53	46	67	30
zASV666	0	0	0	0	0	1	0	0	0	0	3	3	7	7	0	1	6	7	3	1	25	13	14	28	25	14	45	51	31	15	11	13	18	6	4	123	8	10	18	5
zASV667	18	0	0	0	3	0	1	0	2	34	2	2	0	0	0	0	0	0	2	4	28	51	1	0	0	0	0	0	0	423	556	154	1	0	9	22	0	1	35	379
zASV668	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	21	17	6	13	11	6	10	14	11	5	15	15	21	6	5	106	25	10	36	8
zASV669	18	0	1	9	11	13	26	38	23	13	4	3	11	18	6	14	9	27	6	3	28	32	48	39	21	19	46	70	42	11	19	14	9	3	16	146	30	12	15	5
zASV67	2	0	1	12	0	3	1	1	3	0	30	22	0	0	6	6	0	2	6	10	2107	2945	1	20	3	3	2	0	2	51	221	58	0	1	114	207	0	0	44	22
zASV670	21	62	2	14	8	5	44	37	8	8	99	53	10	22	19	43	20	38	8	9	2	0	0	2	1	0	1	0	1	0	0	0	1	0	1	4	0	1	0	0
zASV671	51	0	12	19	19	12	28	40	19	11	12	0	27	34	23	11	18	42	25	15	11	17	7	11	10	5	13	12	13	2	39	13	7	2	0	59	22	10	5	7
zASV672	10	48	15	70	1	1	17	26	119	113	25	12	14	25	13	3	12	22	30	20	10	1	2	4	15	2	6	13	3	2	1	4	10	1	5	46	22	43	2	3
zASV673	26	0	3	11	6	1	38	58	7	4	66	50	8	5	7	1	8	14	13	13	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	2	0	0
zASV674	15	108	12	78	9	12	88	123	63	39	15	24	41	46	9	15	20	49	66	61	3	0	4	6	5	2	0	2	3	2	5	2	0	1	0	19	11	2	0	0
zASV675	35	0	2	16	9	5	46	73	34	20	9	6	14	16	14	25	18	61	34	33	5	0	0	1	2	3	0	1	1	0	0	1	0	0	0	4	1	0	0	0
zASV676	12	0	3	5	0	0	16	27	12	3	4	4	7	15	2	5	5	8	14	18	8	5	12	11	7	3	25	24	10	4	3	12	8	4	2	65	9	7	20	2
zASV677	79	171	42	110	18	41	190	191	125	82	88	41	49	69	86	62	93	165	119	85	6	5	50	35	22	39	31	71	35	11	4	2	7	4	5	115	6	13	16	2
zASV678	1	23	0	8	0	6	22	21	14	8	4	3	4	6	13	9	17	32	41	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV679	196	449	35	86	23	27	349	444	132	73	36	20	44	80	119	98	51	157	77	53	32	30	54	73	27	42	85	90	39	8	1	3	6	1	4	90	1	6	5	0
zASV68	88	137	7	9	1	11	15	32	9	6	19	12	10	25	29	36	15	34	6	12	183	129	127	236	126	110	294	279	188	53	161	89	127	64	39	869	138	83	132	39
zASV680	152	202	15	58	29	35	141	158	74	44	32	9	67	95	33	66	62	123	49	44	80	43	29	30	38	22	66	60	44	15	99	50	38	25	7	209	50	42	30	11
zASV681	21	0	4	24	2	5	43	91	33	12	18	4	53	60	7	10	22	32	38	36	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0
zASV682	3	0	1	6	5	7	107	209	33	30	17	10	9	19	51	45	39	104	35	25	1	0	0	1	4	1	2	0	0	1	1	0	0	0	0	6	7	0	2	0
zASV683	2	61	13	21	4	13	55	60	15	16	4	0	28	33	24	15	22	63	28	11	3	0	0	1	1	2	1	0	0	0	0	0	0	0	0	3	0	1	0	0
zASV684	9	0	3	8	4	1	11	16	17	4	9	3	28	47	10	13	11	12	37	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
zASV686	291	174	30	164	58	56	448	682	287	166	98	48	120	144	121	110	257	415	296	178	25	9	1	2	7	14	7	9	8	1	11	0	5	2	1	24	10	12	3	1
zASV687	0	0	0	4	0	0	0	0	0	0	0	0	6	2	4	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	1	9	0	0	125	0	0	0	0
zASV688	21	0	1	4	9	3	15	27	7	0	41	31	6	15	33	24	6	17	9	6	1	0	0	0	0	0	1	1	4	2	2	0	0	0	0	8	0	0	0	0
zASV689	64	0	12	41	13	8	121	156	66	24	44	10	94	95	24	15	45	74	64	64	0	0	0	1	1	3	3	3	0	0	0	1	0	1	0	3	4	4	0	0
zASV69	0	0	0	7	4	0	0	1	6	0	2	1	0	2	0	1	0	0	0	1	8	2	0	1	1	0	0	0	0	3	1	1	15	0	2	3865	0	0	7	21
zASV690	0	7	14	36	9	16	0	0	2	0	4	1	91	73	3	0	0	0	9	2	0	1	16	39	11	19	0	0	11	3	3	2	59	181	11	354	1	1	9	11
zASV691	130	40	87	181	36	52	246	396	190	100	33	24	281	365	74	72	91	156	234	175	78	37	32	73	73	32	135	120	105	38	34	58	41	30	14	436	71	75	91	18
zASV692	23	0	7	37	3	12	72	73	54	17	41	5	12	20	26	30	30	70	47	34	1	1	5	9	4	15	8	8	13	3	3	0	2	1	2	42	2	2	2	2
zASV693	1	27	5	27	1	0	6	2	32	37	14	15	32	23	21	22	9	8	50	28	0	0	1	0	0	1	1	1	0	0	0	0	2	1	0	5	13	11	0	1
zASV694	63	53	70	96	17	14	134	220	115	84	23	12	133	183	22	9	50	82	150	149	0	0	1	4	0	3	6	6	1	0	0	1	1	0	0	4	2	1	0	0
zASV695	87	0	13	42	17	17	121	171	57	42	17	6	19	21	42	44	20	37	39	25	11	7	21	33	17	21	35	45	15	5	3	0	3	0	0	45	2	1	9	0
zASV696	27	36	35	43	0	1	0	6	53	34	164	111	17	34	0	0	1	10	33	17	3	0	0	0	3	4	16	8	1	0	1	0	0	0	0	1	1	6	0	0
zASV697	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	1	10	48	12	4	48	26	12	5	20	10	18	12	8	66	46	23	47	19
zASV698	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	6	12	20	17	16	16	14	15	3	7	4	7	3	1	74	9	5	17	6
zASV7	9	0	17	144	50	1055	480	628	2671	942	4	5	71	173	881	462	2523	918	1457	968	2	0	478	193	424	459	1434	784	3363	3274	11	1	674	418	455	12806	492	595	6877	2922
zASV70	0	0	0	5	3	3	0	2	10	0	0	0	0	3	0	1	0	0	0	1	6	7	0	5	5	2	0	0	1	4	0	0	19	0	3	3734	0	0	4	9
zASV700	56	0	0	1	1	1	11	23	3	4	13	15	5	5	2	1	4	9	2	1	27	10	20	55	26	16	104	97	35	8	26	2	5	4	6	75	27	16	6	2
zASV701	20	0	7	11	9	3	23	39	23	13	5	3	18	32	3	6	10	12	34	16	21	11	10	21	13	6	45	40	29	8	19	4	15	7	6	84	19	12	13	2
zASV702	64	0	1	2	3	1	18	22	14	1	4	3	0	0	1	0	5	11	2	0	22	16	26	69	23	59	53	45	27	7	11	5	7	1	10	57	7	6	5	3
zASV703	16	0	2	11	3	3	6	20	16	10	3	5	22	20	9	8	11	29	10	2	10	1	9	19	14	4	7	24	18	1	9	3	14	4	7	81	21	1	8	4
