OTUID	MNAW0514.1	MNAW0514.2	MNAW0515.1	MNAW0515.2	MNAW0914.1	MNAW0914.2	MNAW0915.1	MNAW0915.2	MNAW1214.1	MNAW1214.2	NAW0514.1	NAW0514.2	NAW0515.1	NAW0515.2	NAW0914.1	NAW0914.2	NAW0915.1	NAW0915.2	NAW1214.1	NAW1214.2	NSAIW0514.1	NSAIW0514.2	NSAIW0515.1	NSAIW0515.2	NSAIW0914.1	NSAIW0914.2	NSAIW0915.1	NSAIW0915.2	NSAIW1214.1	NSAIW1214.2	NSDW0514.1	NSDW0514.2	NSDW0515.1	NSDW0515.2	NSDW0914.1	NSDW0914.2	NSDW0915.1	NSDW0915.2	NSDW1214.1	NSDW1214.2
zASV443	5	161	9	30	6	5	33	35	17	12	10	10	24	39	24	31	39	95	22	17	15	15	3	9	5	4	9	10	1	1	6	22	6	5	2	45	20	11	11	3
zASV444	13	0	0	1	1	0	2	4	2	1	171	121	5	4	0	2	2	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
zASV445	0	0	3	12	2	9	0	0	0	0	0	3	81	35	0	2	0	0	0	4	0	0	7	19	8	2	0	0	3	2	0	0	15	75	15	552	0	0	4	11
zASV446	22	0	12	29	3	3	26	52	30	11	11	3	51	69	12	9	11	36	42	51	3	0	0	3	0	0	1	3	1	0	0	1	0	0	1	4	1	0	0	1
zASV447	0	0	6	13	3	2	0	1	2	0	1	3	84	38	0	4	0	0	0	4	0	0	11	11	14	7	0	0	10	9	0	0	13	91	17	533	0	0	2	9
zASV448	100	0	44	140	14	21	234	331	245	83	47	32	247	290	56	38	96	171	281	232	0	2	2	5	2	6	4	16	6	1	2	2	1	0	0	11	7	3	0	0
zASV45	0	0	0	5	8	0	0	1	7	0	1	0	0	6	0	0	0	0	2	0	9	3	0	11	1	0	0	0	0	10	4	2	14	0	3	6003	0	0	7	25
zASV450	68	0	0	0	1	1	24	36	5	3	26	24	2	8	3	1	9	17	0	1	40	26	52	108	47	41	214	160	71	15	48	8	10	5	8	158	44	37	34	4
zASV451	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	11	12	15	25	36	21	32	19	27	2	2	11	8	11	4	132	15	20	15	4
zASV453	69	138	1	11	8	17	29	48	6	2	91	54	7	5	39	42	11	21	6	5	0	0	1	0	0	1	0	1	0	1	3	1	0	0	0	0	0	0	0	2
zASV455	47	0	6	25	8	9	42	84	41	32	10	4	12	15	17	15	33	41	34	19	3	0	0	1	3	2	0	1	0	1	0	0	0	0	0	8	3	0	0	0
zASV456	25	146	10	29	14	18	219	220	31	27	157	44	6	11	20	24	11	43	1	4	0	0	2	5	5	5	13	15	8	1	8	0	0	1	0	15	15	13	4	0
zASV457	106	66	30	85	14	18	166	260	103	62	57	27	165	197	32	27	66	130	126	80	0	3	0	0	0	4	4	2	0	0	0	0	2	2	0	3	8	9	0	0
zASV458	125	376	24	74	17	60	224	275	108	74	67	49	56	64	81	83	56	129	73	58	54	18	54	99	70	82	131	97	64	24	36	14	36	26	12	226	25	27	30	17
zASV459	55	0	0	4	11	3	34	67	14	7	30	21	5	7	12	17	4	35	4	14	2	0	1	2	0	3	2	2	3	0	0	0	1	0	0	4	0	0	0	0
zASV46	231	0	8	47	36	32	95	159	81	34	99	66	18	24	72	85	24	60	29	37	522	438	156	285	354	222	434	403	268	84	615	205	314	124	81	1798	411	199	441	140
zASV460	0	0	3	11	0	1	0	0	0	0	1	2	94	19	0	1	0	0	2	6	0	0	10	9	10	2	0	0	15	1	0	0	17	84	13	505	0	0	2	10
zASV461	112	163	28	19	11	12	63	97	29	16	14	14	41	29	17	18	37	58	28	17	17	9	17	19	16	13	24	25	12	2	6	7	7	1	0	41	6	6	2	2
zASV462	8	0	2	24	6	20	45	75	59	37	2	5	38	34	34	27	62	122	96	96	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
